,Start-date,End-date,Prediction,Answer
0,2020-02-07,2020-03-06,82.151764,79.1
1,2020-02-10,2020-03-09,81.95257600000001,79.4
2,2020-02-11,2020-03-10,81.66736999999999,78.6
3,2020-02-12,2020-03-11,81.400604,74.7
4,2020-02-13,2020-03-12,80.75262,74.6
5,2020-02-14,2020-03-13,79.64636,71.1
6,2020-02-17,2020-03-16,78.502975,70.6
7,2020-02-18,2020-03-17,77.44495400000001,70.0
8,2020-02-19,2020-03-18,76.51958,66.3
9,2020-02-20,2020-03-19,75.42182,70.8
10,2020-02-21,2020-03-20,74.580246,67.5
11,2020-02-24,2020-03-23,73.83955999999999,69.4
12,2020-02-25,2020-03-24,73.36406,71.4
13,2020-02-26,2020-03-25,73.21974,71.0
14,2020-02-27,2020-03-26,73.18964,70.1
15,2020-03-02,2020-03-27,73.18001,70.0
16,2020-03-03,2020-03-30,73.08896999999999,69.9
17,2020-03-04,2020-03-31,73.00350999999999,70.0
18,2020-03-05,2020-04-01,72.94669,70.2
19,2020-03-06,2020-04-06,72.88157,71.2
20,2020-03-09,2020-04-07,72.91931,75.0
21,2020-03-10,2020-04-08,73.26094,74.0
22,2020-03-11,2020-04-09,73.74180600000001,73.9
23,2020-03-12,2020-04-10,74.19119,73.1
24,2020-03-13,2020-04-13,74.523415,74.4
25,2020-03-16,2020-04-14,74.81543,74.1
26,2020-03-17,2020-04-15,75.078445,74.0
27,2020-03-18,2020-04-16,75.29087,75.8
28,2020-03-19,2020-04-17,75.60546,76.2
29,2020-03-20,2020-04-20,75.983246,73.5
30,2020-03-23,2020-04-21,76.159485,73.9
31,2020-03-24,2020-04-22,76.17329000000001,74.0
32,2020-03-25,2020-04-23,76.20648,73.8
33,2020-03-26,2020-04-24,76.25579,74.9
34,2020-03-27,2020-04-27,76.35538000000001,75.2
35,2020-03-30,2020-04-28,76.53267,75.6
36,2020-03-31,2020-04-29,76.78491,77.0
37,2020-04-01,2020-04-30,77.15489000000001,74.5
38,2020-04-06,2020-05-04,77.30444,74.1
39,2020-04-07,2020-05-05,77.34517,74.3
40,2020-04-08,2020-05-06,77.38237,75.2
41,2020-04-09,2020-05-07,77.480194,76.2
42,2020-04-10,2020-05-08,77.65633000000001,78.9
43,2020-04-13,2020-05-11,78.055336,77.3
44,2020-04-14,2020-05-12,78.48437,78.79999999999998
45,2020-04-15,2020-05-13,78.9531,78.2
46,2020-04-16,2020-05-14,79.364716,77.1
47,2020-04-17,2020-05-15,79.543686,75.0
48,2020-04-20,2020-05-18,79.4275,74.8
49,2020-04-21,2020-05-19,79.18914000000001,74.5
50,2020-04-22,2020-05-20,78.91429000000001,74.7
51,2020-04-23,2020-05-21,78.652176,73.6
52,2020-04-24,2020-05-22,78.32445,73.6
53,2020-04-27,2020-05-25,77.96843,74.8
54,2020-04-28,2020-05-26,77.755646,75.3
55,2020-04-29,2020-05-27,77.7204,75.3
56,2020-04-30,2020-05-28,77.795456,75.8
57,2020-05-04,2020-05-29,77.91360999999999,76.2
58,2020-05-05,2020-06-01,78.082886,77.1
59,2020-05-06,2020-06-02,78.33196,78.1
60,2020-05-07,2020-06-03,78.688805,78.4
61,2020-05-08,2020-06-04,79.09566,78.50000000000001
62,2020-05-11,2020-06-05,79.490425,79.7
63,2020-05-12,2020-06-08,79.92517,79.5
64,2020-05-13,2020-06-09,80.32616,79.9
65,2020-05-14,2020-06-10,80.69107,78.6
66,2020-05-15,2020-06-11,80.88914,77.99999999999999
67,2020-05-18,2020-06-12,80.851456,77.0
68,2020-05-19,2020-06-15,80.71954000000001,78.4
69,2020-05-20,2020-06-16,80.656624,78.2
70,2020-05-21,2020-06-17,80.64739,78.50000000000001
71,2020-05-22,2020-06-18,80.68001,78.79999999999998
72,2020-05-25,2020-06-19,80.774956,78.9
73,2020-05-26,2020-06-22,80.89643000000001,80.2
74,2020-05-27,2020-06-23,81.13134000000001,83.5
75,2020-05-28,2020-06-24,81.65805,85.2
76,2020-05-29,2020-06-29,82.46845,86.3
77,2020-06-01,2020-06-30,83.444214,85.89999999999998
78,2020-06-02,2020-07-01,84.36081999999999,86.0
79,2020-06-03,2020-07-02,85.02006,85.3
80,2020-06-04,2020-07-03,85.44293,86.40000000000002
81,2020-06-05,2020-07-06,85.78526,87.0
82,2020-06-08,2020-07-07,86.13983,87.0
83,2020-06-09,2020-07-08,86.50724,86.2
84,2020-06-10,2020-07-09,86.77081,84.8
85,2020-06-11,2020-07-10,86.84505,86.69999999999997
86,2020-06-12,2020-07-13,86.93488,86.3
87,2020-06-15,2020-07-14,87.068855,86.6
88,2020-06-16,2020-07-15,87.24492,87.6
89,2020-06-17,2020-07-16,87.515274,88.00000000000001
90,2020-06-18,2020-07-17,87.85635,86.8
91,2020-06-19,2020-07-20,87.95604,85.3
92,2020-06-22,2020-07-21,87.87145,85.89999999999998
93,2020-06-23,2020-07-22,87.77899000000001,82.1
94,2020-06-24,2020-07-23,87.275246,80.0
95,2020-06-29,2020-07-24,86.49119,77.99999999999999
96,2020-06-30,2020-07-27,85.47493,78.4
97,2020-07-01,2020-07-28,84.55691,77.99999999999999
98,2020-07-02,2020-07-29,83.7246,77.99999999999999
