,Start-date,End-date,Prediction,Answer
0,2020-02-06,2020-03-05,40.302734,39.0
1,2020-02-07,2020-03-06,40.299834999999995,38.1
2,2020-02-10,2020-03-09,40.227913,38.35
3,2020-02-11,2020-03-10,40.15213,38.0
4,2020-02-12,2020-03-11,40.075309999999995,37.85
5,2020-02-13,2020-03-12,40.01591,36.0
6,2020-02-14,2020-03-13,39.871227000000005,34.9
7,2020-02-17,2020-03-16,39.74061,33.0
8,2020-02-18,2020-03-17,39.553416999999996,33.0
9,2020-02-19,2020-03-18,39.382942,29.7
10,2020-02-20,2020-03-19,39.171337,30.25
11,2020-02-21,2020-03-20,39.001059999999995,29.6
12,2020-02-24,2020-03-23,38.85841,30.7
13,2020-02-25,2020-03-24,38.800957000000004,31.55
14,2020-02-26,2020-03-25,38.801117,31.0
15,2020-02-27,2020-03-26,38.810127,31.0
16,2020-03-02,2020-03-27,38.80818,31.15
17,2020-03-03,2020-03-30,38.783455,30.8
18,2020-03-04,2020-03-31,38.768809999999995,30.45
19,2020-03-05,2020-04-01,38.74738,30.05
20,2020-03-06,2020-04-06,38.719112,31.4
21,2020-03-09,2020-04-07,38.741642,32.6
22,2020-03-10,2020-04-08,38.80103,32.1
23,2020-03-11,2020-04-09,38.900257,32.55
24,2020-03-12,2020-04-10,39.033314000000004,32.05
25,2020-03-13,2020-04-13,39.239067,33.3
26,2020-03-16,2020-04-14,39.469967,33.4
27,2020-03-17,2020-04-15,39.916515000000004,32.85
28,2020-03-18,2020-04-16,40.28929,33.1
29,2020-03-19,2020-04-17,40.652313,32.75
30,2020-03-20,2020-04-20,40.529034,31.8
31,2020-03-23,2020-04-21,40.313946,31.3
32,2020-03-24,2020-04-22,39.96797,30.85
33,2020-03-25,2020-04-23,39.812084000000006,30.6
34,2020-03-26,2020-04-24,39.74358,32.8
35,2020-03-27,2020-04-27,39.768017,34.55
36,2020-03-30,2020-04-28,39.859604,34.5
37,2020-03-31,2020-04-29,39.936687,34.55
38,2020-04-01,2020-04-30,40.006927000000005,34.1
39,2020-04-06,2020-05-04,39.940983,34.55
40,2020-04-07,2020-05-05,39.803185,34.5
41,2020-04-08,2020-05-06,39.748894,34.15
42,2020-04-09,2020-05-07,39.730793,33.85
43,2020-04-10,2020-05-08,39.721684,33.85
44,2020-04-13,2020-05-11,39.70436,33.35
45,2020-04-14,2020-05-12,39.672794,33.05
46,2020-04-15,2020-05-13,39.653729999999996,32.0
47,2020-04-16,2020-05-14,39.64202,31.8
48,2020-04-17,2020-05-15,39.600388,32.25
49,2020-04-20,2020-05-18,39.597159999999995,33.3
50,2020-04-21,2020-05-19,39.64217,33.7
51,2020-04-22,2020-05-20,39.643085,33.8
52,2020-04-23,2020-05-21,39.581013,32.55
53,2020-04-24,2020-05-22,39.456317999999996,32.5
54,2020-04-27,2020-05-25,39.29376,33.8
55,2020-04-28,2020-05-26,39.2164,34.0
56,2020-04-29,2020-05-27,39.22651,33.55
57,2020-04-30,2020-05-28,39.269943,32.8
58,2020-05-04,2020-05-29,39.271415999999995,33.75
59,2020-05-05,2020-06-01,39.282066,33.8
60,2020-05-06,2020-06-02,39.32097,34.6
61,2020-05-07,2020-06-03,39.388172,34.75
62,2020-05-08,2020-06-04,39.487156,34.75
63,2020-05-11,2020-06-05,39.59302,35.2
64,2020-05-12,2020-06-08,39.713943,35.4
65,2020-05-13,2020-06-09,39.81283,36.0
66,2020-05-14,2020-06-10,39.912859999999995,34.7
67,2020-05-15,2020-06-11,39.89135,34.45
68,2020-05-18,2020-06-12,39.789837,34.2
69,2020-05-19,2020-06-15,39.697117,34.15
70,2020-05-20,2020-06-16,39.672775,35.7
71,2020-05-21,2020-06-17,39.707947,35.1
72,2020-05-22,2020-06-18,39.779247,35.0
73,2020-05-25,2020-06-19,39.778465000000004,34.6
74,2020-05-26,2020-06-22,39.717909999999996,34.7
75,2020-05-27,2020-06-23,39.664124,34.5
76,2020-05-28,2020-06-24,39.636944,33.95
77,2020-05-29,2020-06-29,39.58436,33.75
78,2020-06-01,2020-06-30,39.462276,33.9
79,2020-06-02,2020-07-01,39.402527,35.15
80,2020-06-03,2020-07-02,39.388233,34.95
81,2020-06-04,2020-07-03,39.416977,35.1
82,2020-06-05,2020-07-06,39.445403999999996,35.15
83,2020-06-08,2020-07-07,39.465053999999995,36.0
84,2020-06-09,2020-07-08,39.500523,36.0
85,2020-06-10,2020-07-09,39.564564000000004,35.5
86,2020-06-11,2020-07-10,39.614628,35.55
87,2020-06-12,2020-07-13,39.640812,35.55
88,2020-06-15,2020-07-14,39.63008,36.35
89,2020-06-16,2020-07-15,39.650093,37.0
90,2020-06-17,2020-07-16,39.698966999999996,35.7
91,2020-06-18,2020-07-17,39.751765999999996,35.05
92,2020-06-19,2020-07-20,39.7537,35.55
93,2020-06-22,2020-07-21,39.741646,35.65000000000001
94,2020-06-23,2020-07-22,39.734417,35.0
95,2020-06-24,2020-07-23,39.709225,34.5
96,2020-06-29,2020-07-24,39.673584000000005,34.0
97,2020-06-30,2020-07-27,39.594276,33.55
98,2020-07-01,2020-07-28,39.484207,33.65
99,2020-07-02,2020-07-29,39.39775,34.4
100,2020-07-03,2020-07-30,39.354095,33.95
101,2020-07-06,2020-07-31,39.345715000000006,33.6
102,2020-07-07,2020-08-03,39.311867,35.55
103,2020-07-08,2020-08-04,39.319794,35.9
104,2020-07-09,2020-08-05,39.377520000000004,36.4
105,2020-07-10,2020-08-06,39.466297,35.35
106,2020-07-13,2020-08-07,39.507305,35.4
107,2020-07-14,2020-08-10,39.504807,36.65
108,2020-07-15,2020-08-11,39.527332,36.35
109,2020-07-16,2020-08-12,39.589207,37.75
110,2020-07-17,2020-08-13,39.695374,38.65
111,2020-07-20,2020-08-14,39.866726,38.75
112,2020-07-21,2020-08-17,40.04135,39.0
113,2020-07-22,2020-08-18,40.2243,38.4
114,2020-07-23,2020-08-19,40.375977,37.45
115,2020-07-24,2020-08-20,40.41216,38.1
116,2020-07-27,2020-08-21,40.450615,37.65
117,2020-07-28,2020-08-24,40.457718,37.65
118,2020-07-29,2020-08-25,40.402446999999995,37.75
119,2020-07-30,2020-08-26,40.368183,37.3
120,2020-07-31,2020-08-27,40.32454,37.3
121,2020-08-03,2020-08-28,40.269253000000006,36.0
122,2020-08-04,2020-08-31,40.145846999999996,36.4
123,2020-08-05,2020-09-01,40.035872999999995,35.9
124,2020-08-06,2020-09-02,39.946365,35.85
125,2020-08-07,2020-09-03,39.87233,36.1
126,2020-08-10,2020-09-04,39.807809999999996,37.25
127,2020-08-11,2020-09-07,39.789215000000006,37.5
128,2020-08-12,2020-09-08,39.806156,38.45
129,2020-08-13,2020-09-09,39.855292999999996,38.5
130,2020-08-14,2020-09-10,39.911964000000005,37.9
131,2020-08-17,2020-09-11,39.933414,37.8
132,2020-08-18,2020-09-14,39.927914,38.5
133,2020-08-19,2020-09-15,39.941586,38.25
134,2020-08-20,2020-09-16,39.9839,37.9
135,2020-08-21,2020-09-17,39.972668,37.7
136,2020-08-24,2020-09-18,39.971992,38.0
137,2020-08-25,2020-09-21,39.988255,37.05
138,2020-08-26,2020-09-22,39.990974,37.3
139,2020-08-27,2020-09-23,39.991226,35.7
140,2020-08-28,2020-09-24,39.944527,36.0
141,2020-08-31,2020-09-25,39.89697,36.7
142,2020-09-01,2020-09-28,39.842007,37.2
143,2020-09-02,2020-09-29,39.846737,36.9
144,2020-09-03,2020-09-30,39.855328,37.9
145,2020-09-04,2020-10-05,39.87572,38.0
146,2020-09-07,2020-10-06,39.898196999999996,38.0
147,2020-09-08,2020-10-07,39.9084,37.85
148,2020-09-09,2020-10-08,39.909664,37.7
149,2020-09-10,2020-10-12,39.888126,37.2
150,2020-09-11,2020-10-13,39.852303000000006,37.1
151,2020-09-14,2020-10-14,39.807697,36.6
152,2020-09-15,2020-10-15,39.760994000000004,36.7
153,2020-09-16,2020-10-16,39.731182000000004,37.05
154,2020-09-17,2020-10-19,39.745556,36.8
155,2020-09-18,2020-10-20,39.76031,36.85
156,2020-09-21,2020-10-21,39.778729999999996,36.7
157,2020-09-22,2020-10-22,39.799496000000005,36.75
158,2020-09-23,2020-10-23,39.80294,37.25
159,2020-09-24,2020-10-26,39.819134000000005,37.45
160,2020-09-25,2020-10-27,39.81108,37.1
161,2020-09-28,2020-10-28,39.798054,36.35
162,2020-09-29,2020-10-29,39.740875,36.1
163,2020-09-30,2020-10-30,39.665756,36.05
164,2020-10-05,2020-11-02,39.60649,36.7
165,2020-10-06,2020-11-03,39.587315000000004,37.5
166,2020-10-07,2020-11-04,39.619923,38.0
167,2020-10-08,2020-11-05,39.699543,38.25
168,2020-10-12,2020-11-06,39.797436,38.6
169,2020-10-13,2020-11-09,39.901740000000004,38.6
170,2020-10-14,2020-11-10,39.98131,40.00000000000001
171,2020-10-15,2020-11-11,40.076008,39.9
172,2020-10-16,2020-11-12,40.184566,39.95
173,2020-10-19,2020-11-13,40.300224,39.95
174,2020-10-20,2020-11-16,40.393753000000004,40.35
175,2020-10-21,2020-11-17,40.460217,41.05
176,2020-10-22,2020-11-18,40.569958,41.79999999999999
177,2020-10-23,2020-11-19,40.726524,43.25
178,2020-10-26,2020-11-20,40.970993,43.3
179,2020-10-27,2020-11-23,41.311256,42.75
180,2020-10-28,2020-11-24,41.564457,43.0
181,2020-10-29,2020-11-25,41.785759999999996,43.2
182,2020-10-30,2020-11-26,41.9375,43.2
183,2020-11-02,2020-11-27,42.040752000000005,42.5
184,2020-11-03,2020-11-30,42.101307,43.5
185,2020-11-04,2020-12-01,42.183617,43.2
186,2020-11-05,2020-12-02,42.31328,43.3
187,2020-11-06,2020-12-03,42.423138,43.7
188,2020-11-09,2020-12-04,42.562915999999994,43.8
189,2020-11-10,2020-12-07,42.738659999999996,45.45
190,2020-11-11,2020-12-08,43.000298,45.3
191,2020-11-12,2020-12-09,43.321090000000005,44.8
192,2020-11-13,2020-12-10,43.593790000000006,44.35
193,2020-11-16,2020-12-11,43.696644,45.15
194,2020-11-17,2020-12-14,43.776493,44.8
195,2020-11-18,2020-12-15,43.841076,45.7
196,2020-11-19,2020-12-16,43.960434,45.50000000000001
197,2020-11-20,2020-12-17,44.122677,45.1
198,2020-11-23,2020-12-18,44.20883,44.65
199,2020-11-24,2020-12-21,44.185577,43.05
200,2020-11-25,2020-12-22,43.99297,43.35
201,2020-11-26,2020-12-23,43.809246,43.5
202,2020-11-27,2020-12-24,43.69392,43.55
203,2020-11-30,2020-12-25,43.657684,43.6
204,2020-12-01,2020-12-28,43.628925,43.35
205,2020-12-02,2020-12-29,43.623787,44.1
206,2020-12-03,2020-12-30,43.65964,44.05
207,2020-12-04,2020-12-31,43.72527,44.4
208,2020-12-07,2021-01-04,43.731037,42.8
209,2020-12-08,2021-01-05,43.62945,41.35
210,2020-12-09,2021-01-06,43.284153,42.85
211,2020-12-10,2021-01-07,43.008095000000004,43.6
212,2020-12-11,2021-01-08,42.938988,43.55
213,2020-12-14,2021-01-11,42.979008,43.05
214,2020-12-15,2021-01-12,42.993717,43.3
215,2020-12-16,2021-01-13,42.985115,43.1
216,2020-12-17,2021-01-14,42.929707,43.05
217,2020-12-18,2021-01-15,42.887764000000004,42.35
218,2020-12-21,2021-01-18,42.77689,43.2
219,2020-12-22,2021-01-19,42.698326,41.6
220,2020-12-23,2021-01-20,42.555424,41.7
221,2020-12-24,2021-01-21,42.416298,42.0
222,2020-12-25,2021-01-22,42.31196,42.0
223,2020-12-28,2021-01-25,42.245907,41.5
224,2020-12-29,2021-01-26,42.174915000000006,41.4
225,2020-12-30,2021-01-27,42.10778,40.35
226,2020-12-31,2021-01-28,41.9556,39.95
227,2021-01-04,2021-01-29,41.75958,40.8
228,2021-01-05,2021-02-01,41.623177,42.25
229,2021-01-06,2021-02-02,41.62048,42.45
230,2021-01-07,2021-02-03,41.70128,41.65
231,2021-01-08,2021-02-04,41.75138,41.79999999999999
232,2021-01-11,2021-02-05,41.732533000000004,42.7
233,2021-01-12,2021-02-17,41.76847,43.3
234,2021-01-13,2021-02-18,41.845417,42.55
235,2021-01-14,2021-02-19,41.879906,43.6
236,2021-01-15,2021-02-22,41.918490000000006,44.65
237,2021-01-18,2021-02-23,42.064053,44.4
238,2021-01-19,2021-02-24,42.30155,44.45
239,2021-01-20,2021-02-25,42.52675,43.15
240,2021-01-21,2021-02-26,42.521427,42.4
241,2021-01-22,2021-03-02,42.442375,43.85
242,2021-01-25,2021-03-03,42.428036,43.55
243,2021-01-26,2021-03-04,42.555797999999996,42.95
244,2021-01-27,2021-03-05,42.65463,43.45000000000001
245,2021-01-28,2021-03-08,42.765840000000004,43.6
246,2021-01-29,2021-03-09,42.897583000000004,43.65
247,2021-02-01,2021-03-10,42.993633,43.85
248,2021-02-02,2021-03-11,43.105923,44.0
249,2021-02-03,2021-03-12,43.220528,44.15
250,2021-02-04,2021-03-15,43.327420000000004,44.05
251,2021-02-05,2021-03-16,43.407734000000005,44.7
252,2021-02-17,2021-03-17,43.4985,45.0
253,2021-02-18,2021-03-18,43.660713,44.2
254,2021-02-19,2021-03-19,43.749596000000004,44.55
255,2021-02-22,2021-03-22,43.755272,44.75
256,2021-02-23,2021-03-23,43.785458,46.40000000000001
257,2021-02-24,2021-03-24,43.928726,45.75
258,2021-02-25,2021-03-25,44.16457,45.45
259,2021-02-26,2021-03-26,44.38442,47.0
260,2021-03-02,2021-03-29,44.606106,47.5
261,2021-03-03,2021-03-30,44.9359,48.2
262,2021-03-04,2021-03-31,45.308167,47.45
263,2021-03-05,2021-04-01,45.683002,47.3
264,2021-03-08,2021-04-06,45.942787,47.3
265,2021-03-09,2021-04-07,46.051655,46.95
266,2021-03-10,2021-04-08,46.04600000000001,48.0
267,2021-03-11,2021-04-09,46.124947,47.8
268,2021-03-12,2021-04-12,46.362007,47.3
269,2021-03-15,2021-04-13,46.575171999999995,48.15
270,2021-03-16,2021-04-14,46.754257,51.2
271,2021-03-17,2021-04-15,47.25704,51.7
272,2021-03-18,2021-04-16,48.25649,53.8
273,2021-03-19,2021-04-19,49.682026,56.5
274,2021-03-22,2021-04-20,51.668114,57.1
275,2021-03-23,2021-04-21,53.780487,56.1
